"Calendar year","RoadUser_Group","Counterparty_Group","Sum(Hospitalisations)"
2019,"Car driver","Other / unspecified",202
2019,"Car driver","Pedal cycle",5
2019,"Car driver","Pedestrian / animal",110
2019,"Car passenger","Car / van",2678
2019,"Car passenger","Fixed object",1054
2019,"Car passenger","Heavy transport / bus",195
2019,"Car passenger","Motorcycle",4
2019,"Car passenger","Non-collision / solo",946
2019,"Car passenger","Other / unspecified",74
2019,"Car passenger","Pedestrian / animal",38
2019,"Motorcyclist","Car / van",2462
2019,"Motorcyclist","Fixed object",817
2019,"Motorcyclist","Heavy transport / bus",82
2019,"Motorcyclist","Motorcycle",185
2019,"Motorcyclist","Non-collision / solo",3577
2019,"Motorcyclist","Other / unspecified",1551
2019,"Motorcyclist","Pedal cycle",18
2019,"Motorcyclist","Pedestrian / animal",232
2019,"Other","Car / van",322
2019,"Other","Fixed object",182
2019,"Other","Heavy transport / bus",116
2019,"Other","Motorcycle",4
2019,"Other","Non-collision / solo",579
2019,"Other","Other / unspecified",1241
2019,"Other","Pedal cycle",1
2019,"Other","Pedestrian / animal",11
2019,"Pedal cyclist","Car / van",1585
2019,"Pedal cyclist","Fixed object",434
2019,"Pedal cyclist","Heavy transport / bus",40
2019,"Pedal cyclist","Motorcycle",23
2019,"Pedal cyclist","Non-collision / solo",3070
2019,"Pedal cyclist","Other / unspecified",1682
2019,"Pedal cyclist","Pedal cycle",384
2019,"Pedal cyclist","Pedestrian / animal",84
2019,"Pedestrian","Car / van",2365
2019,"Pedestrian","Heavy transport / bus",112
2019,"Pedestrian","Motorcycle",62
2019,"Pedestrian","Other / unspecified",105
2019,"Pedestrian","Pedal cycle",56
2019,"Pedestrian","Pedestrian / animal",13
2020,"Car driver","Car / van",6635
2020,"Car driver","Fixed object",3076
2020,"Car driver","Heavy transport / bus",471
2020,"Car driver","Motorcycle",23
2020,"Car driver","Non-collision / solo",1768
2020,"Car driver","Other / unspecified",149
2020,"Car driver","Pedal cycle",4
2020,"Car driver","Pedestrian / animal",91
2020,"Car passenger","Car / van",2222
2020,"Car passenger","Fixed object",987
2020,"Car passenger","Heavy transport / bus",133
2020,"Car passenger","Motorcycle",5
2020,"Car passenger","Non-collision / solo",912
2020,"Car passenger","Other / unspecified",58
2020,"Car passenger","Pedestrian / animal",27
2020,"Motorcyclist","Car / van",2047
2020,"Motorcyclist","Fixed object",955
2020,"Motorcyclist","Heavy transport / bus",73
2020,"Motorcyclist","Motorcycle",209
2020,"Motorcyclist","Non-collision / solo",3782
2020,"Motorcyclist","Other / unspecified",1422
2020,"Motorcyclist","Pedal cycle",16
2020,"Motorcyclist","Pedestrian / animal",180
2020,"Other","Car / van",313
2020,"Other","Fixed object",138
2020,"Other","Heavy transport / bus",96
2020,"Other","Motorcycle",1
2020,"Other","Non-collision / solo",590
2020,"Other","Other / unspecified",1142
2020,"Other","Pedal cycle",1
2020,"Other","Pedestrian / animal",5
2020,"Pedal cyclist","Car / van",1599
2020,"Pedal cyclist","Fixed object",500
2020,"Pedal cyclist","Heavy transport / bus",42
2020,"Pedal cyclist","Motorcycle",15
2020,"Pedal cyclist","Non-collision / solo",3853
2020,"Pedal cyclist","Other / unspecified",1902
2020,"Pedal cyclist","Pedal cycle",335
2020,"Pedal cyclist","Pedestrian / animal",86
2020,"Pedestrian","Car / van",1852
2020,"Pedestrian","Heavy transport / bus",78
2020,"Pedestrian","Motorcycle",45
2020,"Pedestrian","Other / unspecified",87
2020,"Pedestrian","Pedal cycle",35
2020,"Pedestrian","Pedestrian / animal",6
2021,"Car driver","Car / van",7589
2021,"Car driver","Fixed object",3064
2021,"Car driver","Heavy transport / bus",544
2021,"Car driver","Motorcycle",31
2021,"Car driver","Non-collision / solo",1821
2021,"Car driver","Other / unspecified",175
2021,"Car driver","Pedal cycle",4
2021,"Car driver","Pedestrian / animal",99
2021,"Car passenger","Car / van",2303
2021,"Car passenger","Fixed object",970
2021,"Car passenger","Heavy transport / bus",161
2021,"Car passenger","Motorcycle",11
